Goa Gad,0 ft from MSL,Coastal Fort,None,Easy,There are two entrances to the fort; one on the coastal side and the other facing the sea. The one facing the sea is the main entrance and is blocked with stones now. On the lower side of the frame of the doorway is a sculpture of tiger. On the left part of the door of is the sculpture of “Gandabherunda” (Also known as the Berunda; it is a two-headed mythological bird of Hindu mythology thought to possess magical strength) with four elephants in its claws. On the left side there is a carving which depicts 3 dogs holding each others’ neck in their jaws and each one holding two elephants in their legs; the elephants holding the tails of other ones with their trunks. This is a rare sculpture. We find Lord Hanuman on the ramparts in front of the door. There is a tank to collect water. On the southern side of the fort is the citadel of the fort built on a natural elevation.,can reach Harne village via Dapoli from Mumbai,Available in Harne village,Available in Harne village,Available in Harne village,Coastal Fort,image_24_1,image_24_2,image_24_3,image_24_4,path,5
Gopalgad,300 ft,Hill Fort,None,Easy,The area of this fort is around 7 acres. Most of the ramparts are still intact; with most of its bastions. There is a well dug moat around the fort on two sides of the fort. Vehicles can go till the main entrance of the fort. There are 15 bastions to the fort; most of them now covered with trees. On these bastions are firm porches of laterite rock as a base for cannons.,Guhagar; which is a famous tourist destination; is about 12 km to the south of Anjanvel. State transport and private buses ply regularly from Mumbai; Thane; Kalyan; Pune and various places. One can travel in ST bus to Anjanvel; though a private vehicle or rickshaw is preferable. It takes about 2 to 3 hours to see the fort completely.,Resorts available in Guhagar,Packed Lunch is Recommended,Need to carry water,1 hour from Guhagar by vehicle. Note-  One can plan a visit to Gopalgad; Hedvi; and Velneshwar and also see the ancient port of Palshet on the way to Hedvi. The latter places are to the south of Guhagar; about 20 km away. Guhagar beach is worth visiting; along with the temple of Arjun-Krishna in the town,image_25_1,image_25_2,image_25_3,image_25_4,map_25,5
Kanak Durg,0 ft from MSL,Coastal Fort,None,Easy, There are rock steps to ascend the fort. Some ramparts do exist; with water tanks on the top. There is a lighthouse on the fort. To the left side of the steps is a strong bastion built in black rock. The rock on which the fort is built has been carved out for the same.,We can reach Harne village via Dapoli from Mumbai.,Available in Harne village,Available in Harne village,Available in Harne village,Coastal Fort,image_26_1,image_26_2,image_26_3,image_26_4,path,5
Manik Durg,500 ft,Hill Fort,Kokan,Medium,On the top we find the temple of Sukai Devi. The remnants are scattered everywhere in the forests. On the water tank we find stone carvings of Yakshas. Due to dense tree cover; we can see birds and butterflies here.,Chiplun – Savarde – Mandki distance is at 27 km. The road to Mandki village goes from Savarde village on Mumbai – Goa highway. Savarde – Mandki distance is 7 km and Savarde station – Mandki distance is 2 km. From the Amba stop in Mandki; the road to the left takes us to the fort base. The path to the fort goes through dense tree cover. It takes one hour to reach the top.,None,None,No drinking water is available on the fort-top,The path to the fort goes through dense tree cover. It takes one hour to reach the top.,path,path,path,path,map_27,5
Rasalgad,1770 ft,Hill Fort,Khed,Easy,The fort is quite small and it takes almost one and half hours to see the whole fort. The route to the fort starts from a village near foothills of the fort; which is known as Rasalwadi. Once we reach the fort; we come across two doors. Entering through first door; we come across a temple of Lord Hanuman. Beyond the temple; lies the second door. Entering through the second door; we come across huge cannon of those days placed on the wall of the fort. Cannons are one of the significant features of this fort. About 16 cannons can be found on this fort.The top of this fort is almost a flat plateau. There is a temple of Godess Zolai on the top; which has been recently renovated. One can find many small statues of Gods and Goddesses being kept in the temple. There is a Deepmal; a vertical structure made for lighting oil-lamps; and a plant of Tulsi in front of the temple. A Cannon can also be seen lying nearby. Next to the temple; is a small lake; the water from which is good enough for drinking. Behind this temple is the temple of Lord Shiva.,From Beed Villege -Board a bus towards Khed or Vadgaon from Birmani and alight at Humberi junction. From Humberi junction; a 1 hour journey takes us to village called Beed. From Beed one can reach to this fort in approximately 1 ½ hours. From Nimni Villege -Board a bus from Khed to Nimni village. From Nimni village; one can reach this fort via Rasalwadi within an hour. The route is quite simple.From Mouze Jaitapur Villege -Board a bus from Khed to Mouze Jaitapur. From Mouze Jaitapur; one can reach this fort via Rasalwadi within couple of hours. The route is quite simple.,One can avail accommodation in Zolai Temple which can host 30 to 40 persons.,One has to make his own arrangement for food.,Drinking water is available on the fort throughout the year.,1 hour via Beed village. 1½ hour via Nimni village 2 hours via Mouze Jaitpur village,image_28_1,image_28_2,image_28_3,image_28_4,path,5
Sumargad,2000 ft,Hill Fort,Mahabaleshwar-Koyna,Hard,On reaching the fort-top; we come across two cisterns. A cave has been carved inside these cisterns. There is a ‘Shivalinga’ and an idol of a goddess in this cave. Heading further to the right of these cisterns; we come across a cistern supported on only one column. From here; one straight way climbs up the hill; while the other stretches around the hill. While traversing around the hill; a cave is seen; which has now been clogged by rocks and soil. There are two rooms inside this cave.,The fort can be approached either from Rasalgad side as also from Mahipatgad. The paths from both sides unite at a col from where fort-top can be reached. Via Mahipatgad -       One has to descend from opposite side of Wadi Beldar from Mahipatgad. We come across a settlement of shepherds on this way. After crossing a stream on our way we have to climb up a hillock. Within half an hour we reach in the col. The way on the left leads us in the direction of the fort. Proceeding through this path we come near a precipice. From here the way ahead to the top is slightly difficult. Use of rope is preferable for safety reasons. About 2 ½ hours are required to Sumargad via Mahipatgad. Via Rasalgad -       A foot-track from Rasalwadi; via a settlement of shepherds on a hillock; leads up to the col. Here we cannot miss to visit Raya’s (a helpful shepherd) hut. Moving further from here we come across a stream and a water pond which is suitable for drinking. Further moving through the ‘Karvi’ bushes we reach up to a rock which can be climbed up with the use of rope up to the fort-top. Otherwise a straight route leads us to the col from where fort-top can be reached. About 4 ½ hours are required to reach Sumargad from Rasalgad.,There is no residing place (shelter) on the fort.,One has to make the food arrangement on its own.,Perennial source of water is available on the way to the fort.,About 2 ½ hours via Mahipatgad. About 4 ½ hours via Rasalgad.,image_29_1,image_29_2,image_29_3,image_29_4,map_29,5
Avachitgad,900 ft,Hill Fort,Roha,Easy,The main entrance to the fort is still in better condition. The bastion on the way from Medhe was much better for keeping a watch on the surrounding region. As we proceed further from the main entrance; we come across the remnants of old constructions on a neighboring hillock. Near the second entrance there is a lake. The water is potable here. Near to it is a statue of Lord Khandoba. The fort is not much wide; but stretches long enough. It takes about two hours to see the fort. The forest around the fort is dense and the fauna comprises wild hogs; leopards; foxes; monkeys; etc. it is a best monsoon trek. From the top of Avchitgad we can have a glimpse of Telbaila; Sudhagad; Sarasgad; Dhangad; Raigad; Korigad and Savashna Ghat.,Ways To Reach - Via Pengalsai -Pengalsai is situated at about 5 km from Roha. It is the base village. From here it takes one hour to reach the top.  Via Medha - The village of Medha is 7.5 km before Roha on Mumbai-Roha highway. The way to the fort goes along the temple of Lord Vitthal. We have to ascend through thick woods and reach the front bastion after one hour. Via Padam - There is an old factory in the village of Padam. Beyond this factory is the way to the fort; which takes us to the southern entrance within two hours.,There is no facility on the fort.,None.Carrying food with us is advisable. ,There are many a cisterns and tanks on the fort; but the two on the southwest side are more reliable.,One hour from Medhe and Pengalsai. ,image_30_1,image_30_2,image_30_3,image_30_4,map_30,6
Dhak Bahiri,2700 ft,Hill Fort,Karjat,Hard,As such no significant structures are remaining on the fort; except good scenery and few water cisterns. The cave of Bahiri - An important part of this thrilling trek is the cave; which is situated on the other side of fort; and the way goes through dense vegetation. Walking for few minutes’ leads to a diversion and the way to right directs to a cliff called the cliff of Kalakrai”. The narrow ridge between the cliff and the mountain descends to a narrow straight path where we come across two caves. One should proceed from here by taking support of the rocks and should be quite careful. Ascending the rock patch where a bamboo and a rope are used to climb to the caves.  The caves as such are sacred as the Lord of Bahiri resides here. From the caves; we can have a glance of the terrifying beauty of peaks of Sahyadri. We can also see the beautiful twins forts of Rajmachi; Shrivardhan and Manranjan. Here one can use the cooking vessels kept in the water in the cave. They should be kept back by cleaning after using them. A legend says that one who tries to steals the vessels; perishes.   Kalakrai Pinnacle -This pinnacle is quite famous and frequently visited by mountaineers. The way to the left of the ridge takes to the cliff; but a rope and rock climbing equipment is necessary. An exciting campfire spot in the forest -  Moreover; people can also enjoy an existing campfire in the forest below. Choosing a place on the outskirts of the forest with less vegetation; one can stay here for a night and experience an exciting campfire. Here we can enjoy sky observation; as the sky is clear.,From the village of Wadhap -From Karjat one should aboard the S.T. bus for the village of Wadhap. We have to cross a rivulet; and a way leads straight to the fort. There is a temple on the fort. To the left of the temple is the way; which leads us to the ridge between the fort and the pinnacle. From the village of Sandshi -From Karjat; S.T. buses ply regularly to Sandshi. Its better to board the bus in the early morning as the midday sun heats the rocks. From here; a guide is required; as the way proceeds through dense vegetation and is quite confusing. After a walk of 2 hours we reach the ridge between the pinnacle on the left and the mountain of Dhak on the right. Way through the ridge leads to the cave of Bahiri. There are rock-hewn steps; and following them is a rope; bound to a bamboo. Here we have to climb safely. Above the cave is the wall of mountain on which the fort of Dhak is situated.From Rajmachi -While going to Rajmachi from Lonavala; we come across three prominent waterfalls. After we pass all waterfalls and cross the stream; we come to a distinct diversion. The way to the left goes to Rajmachi; and to right is Dhak. It takes 3-4 hours to reach the fort from here; via Wadhap.,One can stay on the fort in the cave of Bahiri.Campfire can also be planned in the forest below.,One should make arrangements for foodstuffs. The cooking vessels are available in the cave of Bahiri,1) Water cisterns near the caves. 2) Small water ponds in forest.,2 Hours,image_31_1,image_31_2,image_31_3,image_31_4,map_31,6
Karnala,2500 ft,Hill Fort,Matheran,Easy,As we proceed ahead of Karmaidevi temple; we ascend through the main entrance door. Going right is the way to the base of the pinnacle and the caves carved out in it. The northern face of the pinnacle houses many beehives. Hence no sound should be made while going this way. Going rightwards we can see another entrance; but the way here is bit difficult. If we go to the left side; there are remnants of old dwelling places. Here are some tanks. There are many cisterns near the caves; but none of them contains potable water. A cistern on the left side; near the remnants; towards steep side of the fort contains drinking water. We enter the fort from northern side. Going southwards beyond the pinnacle; we can observe the ramparts in good condition. We climb some steps and come to the southern Machi. This face of the pinnacle is clear and suitable for rock climbers. A further southward is another bastion. On the entrance here are the carvings of “SHARABH”; which is a legendary animal. Here are the remnants old constructions. On the western face; there is not a clear way. Some caves are situated here. From the top of the fort we can see Prabalgad; Irshaalgad; Dhaak and forts of Rajmachi. On the west are Mumbai and Elephanta islands. The forts visible from here show a strong network to keep a check on the surrounding region.,One has to board a bus for Panvel. From here we get many buses to Karnala. Any bus travelling on the Mumbai-Goa highway takes us there. Here we enter the bird sanctuary. From here two ways go to the top of the fort. The way to the right goes through the forest; whereas a more simple way goes to the left. As we proceed from the left; we reach to the temple of Karmaidevi in one and half hour.,The caves are better to stay; but recently there are many beehives over them. Hence one has to stay there at risk; as a small noise can distract the bees.,Available in base village,Water is available in a cistern near the remnants on the left side of the main entrance., 1-½ hours from the base village.Caution- In recent days many beehives have been formed on the front face of the pinnacle. Any small noise can result in chaos within the bees. Not to make any noise near the pinnacle. If a bigger group is there keep left while going to the backside of the fort.,image_32_1,image_32_2,image_32_3,image_32_4,map_32,6
Mangalgad,2475 ft,Hill Fort,None,Medium,Its main entrance is destroyed; but remnants of the adjacent bastions and ramparts are still there.  Kangori Devis temple is built in the rock platform. Roof is Destroyed. Behind the temple is the end point of the fort from where we can have a glimpse of the surrounding region. Here we can see a bastion with flag post.,To reach Kangorigad; one has to board the Thane-Pimpalwadi ST Bus and get down at Dudhanewadi/ Kangorigad stop. Near that stop; you can see the temple of Kangori Sidhheshwar and it is besides a hill. Behind this temple; the way to the right; around the boundary of a field; will lead to the top of the hill within 30-45 minutes. Once we reach here; we can see the western bastion of the fort in front. We need to ascend in this direction. After climbing a small rock patch; we can walk on the way to left to reach the entrance of the fort. This is bit steep. There is another way to this fort. In front of Kangori Sidhheshwar temple there is a field; and a steep hike from here takes us in less time to hill top. However; this way might be tiring being more steep. This way can be used while descending the hill. If you dont get the Direct Pimplwadi Bus from Thane then you have to go to Mahad. From Mahad you need to go to Birwadi. There you will get Birwadi-Pimplwadi Bus in every two hours. Jeeps or Rickshaws (10 Seaters – Rs.20/- per person) are also available from Birwadi to Dudhanewadi.,10 People can be accommodated in the temple except for the rainy season.,None,Available,2 Hours via Dudhane Wadi.,image_33_1,image_33_2,image_33_3,image_33_4,map_33,6
Peb,2100 ft,Hill Fort,Karjat,Medium,The cave on the fort is occupied by disciples of Swami Samarth; a great saint. They have contributed a lot to development on this fort from last ten years. They have managed successfully to keep the cave and the fort clean; and maintained the dignity of the fort. Near to this cave are meditation caverns; which are underground. These caverns are still in good condition. One has to crawl into these and only one man can enter at one time. In monsoon two of these are filled with water.,From Neral station - Alight at Neral station on the central railway route and take right. The way on the left takes us to Matheran. A ground; a poultry farm and some houses under construction could be remembered as landmarks on the way. Then proceed towards the huge electric towers on the way. After we arrive at a tower with a big cement base; we see a big waterfall. There are three ways near this waterfall. 1.The way along the waterfall 2.Main way from the center 3.The way along the towers.The way along the waterfall goes through forests and it’s not possible to proceed along this way. Whereas the way along the towers is very very lengthy and there is a diversion on this route; which go towards Panvel. One might get lost on this way. So the best way is the central one; which takes us to the cave on the fort. On this way we see a rock with carving of Lord Ganesh. Ascend from the right side of this rock. Though this is the way of a small waterfall; proceed along the same way. This way takes us at the ridge. From the ridge turn at left and go further. Here we see a big white rock. Climbing this small patch and walking for 10 minutes we reach at a cave. It is advisable to go with a guide. 2 to 2½ hours are required to climb the fort. From Panorama point at Matheran - Another way to Peb is from Panorama point at Matheran. From here we reach at the cave within 6 hours. Carving of eagle is seen at the base of cave.,As the disciples of Swami Samartha stay in the cave; we can stay in the cavern nearby. About 10 people can be accommodated here.,One has to make his own food arrangement,Available,3 Hours from Neral,image_34_1,image_34_2,image_34_3,image_34_4,map_34,6
Raigad,2900 ft,Hill Fort,Pune,Easy,1.Jijamata’s Palace at Pachad 2.Khubladha Buruj  3.Nana Darwaja  4.Madarmorcha (Mashidmorcha) 5.Maha Darwaja  6.Chordindi 7.Hatti Talao 8.Pillars 9.Palkhi Darwaja. For More Information Refer to Map,Raigad being situated 30km to the north of Mahad; ST buses ply regularly from Mahad. There are buses from Mumbai Central and Pune which ply to Mahad or Raigad via Mahad. We can ascend Raigad either by walk or by ropeway. If we want to ascend the fort by walk; we can go from Chitta Darwaja or Nana Darwaja and we reach MahaDarwaja. It takes about 2 hours to reach the top. If we reach the top of the fort by ropeway; it takes only 15-20 minutes. However; wait time for ropeway depends on the crowd.,MTDC rooms and dormitories are available and can be booked by calling MTDC Mumbai office. There are ZP rooms also on the fort.,Hotels are Available on the fort,Available,2 Hrs by walk and 20 minutes by rope-way,image_35_1,image_35_2,image_35_3,image_35_4,map_35,6
